name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude,one_star_reviews
Cafe Barista·Lien consulté,"Kabale, Ouganda",,+256 703 241583,0,4.2,-1.9389441,20.8823249,0
The Hope Shop Kigali Gishushu·Lien consulté,"18 KG 599 Street, Kigali",duhope.org,0782 010 106,0,4.6,-1.9389441,20.8823249,0
Migano Cafe·Lien consulté,"NR 4 RD, 43",,0783 971 050,0,4.3,-1.9389441,20.8823249,0
U Caffe USA·Lien consulté,,ucaffeusa.com,+1 844-344-6766,0,5.0,46.423669,-139.1712242,0
États-Unis·Lien consulté,,,,0,0.0,44.2423649,-119.8093025,0
Usa Coffee·Lien consulté,"3671 Dushi Rd, Minhang District, Shanghai, Chine, 201108",,,0,0.0,31.0835,47.572545,0
Jaza Supermarket·Lien consulté,"KG 12 Ave, Kigali",,0788 400 430,0,4.6,-1.9229694,-43.7207475,0
"U.S. Coffee, Inc.·Lien consulté","51 Alpha Plaza, Hicksville, NY 11801, États-Unis",uscoffee.com,+1 516-733-7600,0,3.1,40.7638586,-147.3733212,0
USA Coffee House·Lien consulté,"5G57+74P, Bangladesh",,+880 1816-880612,0,5.0,23.1582198,15.6846973,0
Coffee Us·Lien consulté,,coffeeus.com.br,+55 51 99610-6703,0,5.0,-14.4095262,-125.144805,0
US Coffee At Home·Lien consulté,"51 Alpha Plaza, Hicksville, NY 11801, États-Unis",uscoffeeathome.com,+1 877-845-4365,0,3.7,40.7643862,-147.3732217,0
Coffee City USA Coffee Roaster·Lien consulté,"13195 State Hwy 155, Tyler, TX 75703, États-Unis",coffeecityusa.com,+1 903-509-9102,0,4.9,40.7643862,-147.3732217,0
Super Coffee·Lien consulté,,drinksupercoffee.com,,0,4.0,46.423669,156.2291664,0
Four Points by Sheraton Kigali·Lien consulté,"KN 3 Ave, Kigali",marriott.com,0788 163 100,0,4.6,-1.9561712,-43.7660628,0
Kigali Marriott Hotel·Lien consulté,"KN 3 Ave, Kigali",marriott.com,222 111 111,0,4.6,-1.9561712,-43.7660628,0
Coffee Wholesale USA·Lien consulté,"5701 Steep Hill Rd building d, Fort Smith, AR 72916, États-Unis",cw-usa.com,+1 866-570-0498,0,4.7,35.2821849,-168.2006645,0
The Women'S Bakery·Lien consulté,"13 KG 176 St, Kigali",womensbakery.com,0784 444 455,0,4.1,-1.9582458,-43.7139897,0
King Coffee USA Head Office·Lien consulté,"25651 Atlantic Ocean Dr Unit A15, Lake Forest, CA 92630, États-Unis",kingcoffeeusa.com,+1 949-215-1158,0,0.0,33.6668249,168.4888823,0
US Roast·Lien consulté,"1501 W Ferguson Rd, Mt Pleasant, TX 75455, États-Unis",usroast.com,+1 903-563-7355,0,5.0,33.1565869,-168.811552,0
Usawa coffee·Lien consulté,"Verlengde Noordkade 14, 5462 EC Veghel, Pays-Bas",usawa.coffee,+31 413 712 962,0,0.0,51.6155723,-68.2993132,0
Coffee America USA Corporation·Lien consulté,"30 Wall St, New York, NY 10005, États-Unis",sucden.com,+1 212-422-7750,0,3.8,40.7069208,-147.8382832,0
Native American Coffee·Lien consulté,"5701 Steep Hill Rd building d, Fort Smith, AR 72916, États-Unis",nativeamericancoffee.com,+1 800-344-2739,0,5.0,40.7069208,-147.8382832,0
New Coffee USA·Lien consulté,"124 New York Ave, Newark, NJ 07105, États-Unis",newcoffeeusa.com,+1 973-732-2930,0,5.0,40.7069208,-147.8382832,0
US Coffee & Tea·Lien consulté,"207 Ansborough Ave, Waterloo, IA 50701, États-Unis",uscoffeeandtea.com,+1 319-493-0154,0,0.0,40.7069208,-147.8382832,0
American Coffee Cup·Lien consulté,,,+1 702-758-1230,0,0.0,46.423669,156.2291664,0
Buy American Coffee·Lien consulté,"4251 Allen Rd, Zephyrhills, FL 33541, États-Unis",buyamericancoffee.com,+1 973-725-0466,0,4.0,28.2197361,-156.0336209,0
Cafe Unido·Lien consulté,"1280 4th St NE, Washington, DC 20002, États-Unis",cafeunido.com,,0,4.8,28.2197361,-156.0336209,0
Sweet Coffee USA·Lien consulté,"2430 Hollywood Blvd, Hollywood, FL 33020, États-Unis",sweetcoffeeusa.com,,0,4.7,28.2197361,-156.0336209,0
