name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude,one_star_reviews
"Ka La'i Waikiki Beach, LXR Hotels & Resorts·Lien consulté","223 Saratoga Rd, Honolulu, HI 96815, États-Unis",hilton.com,+1 808-683-7777,0,4.4,21.2793863,128.3398131,0
Stratosphere Las Vegas·Lien consulté,"2000 Las Vegas Blvd S, Las Vegas, NV 89104, États-Unis",thestrat.com,+1 800-998-6937,0,4.0,36.1475119,171.0153213,0
The Manhattan at Times Square Hotel·Lien consulté,"790 7th Ave, New York, NY 10019, États-Unis",manhattanhoteltimessquare.com,+1 212-581-3300,0,3.1,40.7622856,-147.8107654,0
Shelter Hotels·Lien consulté,"457 S Mariposa Ave, Los Angeles, CA 90020, États-Unis",shelterhotels.com,+1 213-380-6910,0,3.9,34.0655556,167.8724306,0
"Oceana Santa Monica, LXR Hotels & Resorts·Lien consulté","849 Ocean Ave, Santa Monica, CA 90403, États-Unis",hoteloceanasantamonica.com,+1 800-777-0758,0,4.5,34.0213032,167.6657992,0
Hollywood Inn Suites Hotel·Lien consulté,"1030 W El Segundo Blvd, Gardena, CA 90247, États-Unis",hollywoodsuiteshotel.com,+1 424-266-9450,0,3.8,33.9161455,167.8787801,0
Maingate Lakeside Resort·Lien consulté,"7769 W Irlo Bronson Memorial Hwy Suite 101, Kissimmee, FL 34747, États-Unis",maingatelakesideresort.com,+1 407-396-2222,0,2.7,28.3410336,-155.4240682,0
Park Central Hotel New York·Lien consulté,"870 7th Ave, New York, NY 10019, États-Unis",,+1 212-247-8000,0,3.9,28.3410336,-155.4240682,0
Virgin Hotels New Orleans·Lien consulté,"550 Baronne St, New Orleans, LA 70113, États-Unis",virginhotels.com,+1 504-603-8000,0,4.4,28.3410336,-155.4240682,0
Panamint Springs Resort·Lien consulté,"40440 CA-190, Darwin, CA 93522, États-Unis",panamintsprings.com,+1 775-482-7680,0,4.1,36.3394073,168.7037602,0
The Surfrider Hotel·Lien consulté,"23033 Pacific Coast Hwy, Malibu, CA 90265, États-Unis",thesurfridermalibu.com,+1 310-526-6158,0,4.6,34.0370947,167.493908,0
70 Park Avenue·Lien consulté,"70 Park Ave, New York, NY 10016, États-Unis",70parkave.com,+1 212-973-2400,0,4.2,40.7499515,-147.8078841,0
The Fifth Avenue Hotel·Lien consulté,"1 W 28th St, New York, NY 10001, États-Unis",thefifthavenuehotel.com,+1 212-231-9400,0,4.7,40.7499515,-147.8078841,0
"The Waters Hot Springs, Tapestry Collection by Hilton·Lien consulté","340 Central Ave, Hot Springs, AR 71901, États-Unis",hilton.com,+1 501-321-0001,0,4.4,40.7499515,-147.8078841,0
Hôtel Swexan·Lien consulté,"2575 McKinnon St, Dallas, TX 75201, États-Unis",hotelswexan.com,+1 469-405-1911,0,4.6,40.7499515,-147.8078841,0
Virgin Hotels Chicago·Lien consulté,"203 N Wabash Ave, Chicago, IL 60601, États-Unis",virginhotels.com,+1 312-940-4400,0,4.5,40.7499515,-147.8078841,0
Silver Sevens Hotel & Casino·Lien consulté,"4100 Paradise Rd, Las Vegas, NV 89169, États-Unis",silversevenscasino.com,+1 702-733-7000,0,3.6,36.1137617,171.0192261,0
CIVILIAN Hotel·Lien consulté,"305 W 48th St, New York, NY 10036, États-Unis",civilianhotel.com,+1 646-692-8012,0,4.3,40.76143,-147.815576,0
Virgin Hotels Dallas·Lien consulté,"1445 Turtle Creek Blvd, Dallas, TX 75207, États-Unis",virginhotels.com,+1 469-359-7700,0,4.3,40.76143,-147.815576,0
Old No. 77 Hotel & Chandlery·Lien consulté,"535 Tchoupitoulas St, New Orleans, LA 70130, États-Unis",old77hotel.com,+1 504-527-5271,0,4.2,40.76143,-147.815576,0
