name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
American Grill Kigali,"KG 17 Ave, Kigali",facebook.com,0790 580 295,144,5.0,-1.9556189,20.8834406
H&M FOODS AND OUTSIDE CATERING,"+256703000004 +256751000004, Kampala, Ouganda",,+256 751 000004,149,5.0,-1.9556189,20.8834406
Restaurant New Cactus,"KN 47 St, Kigali",,0788 678 798,322,5.0,-1.9556189,20.8834406
B. I pizzeria Gulu,"Lasto Okech Rd, Gulu, Ouganda",,+256 783 971952,22,5.0,-1.9556189,20.8834406
Jungle Grillz resto and bar,"KG 20 Ave, Kigali",,0791 938 593,36,5.0,-1.9556189,20.8834406
Real Indian Foods Restaurant,"KG 137 St, Kigali",,0791 447 308,13,5.0,-1.9556189,20.8834406
The Best Nigerian Food In Kigali - Traditional & Authentic Nigerian and West African Food,"KK 446 St, Kigali",bestnigerianfoodinkigali.com,0784 102 706,12,5.0,-1.9556189,20.8834406
Sole Luna,"KG 599 Street, Kigali",soleluna.company,0788 859 593,1,5.0,-1.9556189,20.8834406
Anda Kigali,"5th Floor, KK 35 Ave & KK 796 St Pelican Plaza Building, Kigali",anda.rw,0790 001 444,18,5.0,-1.9556189,20.8834406
Pizza Kwanza,"348C +48G, Kigali",,0780 412 396,25,5.0,-1.9556189,20.8834406
Lamani Cafe,"Eden Road, Kampala, Ouganda",,+256 755 511585,6,5.0,-1.9556189,20.8834406
The Lawns Restaurant,"3A Lower Kololo Terrace Rd, Kampala, Ouganda",lawnstakeaway.com,+256 705 091278,1,5.0,-1.9556189,20.8834406
Italiano Ristorante,"Mbarara - Masaka Rd, Mbarara, Ouganda",,+256 770 392046,104,5.0,-1.9556189,20.8834406
Cormoran Lodge,Kibuye,cormoranlodge.com,0787 808 080,301,5.0,-1.9556189,20.8834406
"Gorilla Village Lodge, Rubuguri","Rubuguri, Ouganda",gorillalodge.com,+256 702 942045,9,5.0,-1.9556189,20.8834406
KFC Mukono,"Block 107, Plot 38, Shell Mukono, 40 Kampala-Jinja Expy, Mukono, Ouganda",facebook.com,+256 783 555581,232,5.0,-1.9556189,20.8834406
KFC Rwanda,"24Q8+QJ4, Remera RN3, KG 4 Roundabout, Kigali",apps.kfc.co.rw,0789 244 860,1,5.0,-1.9556189,20.8834406
Heaven Restaurant & Boutique Hotel,"7 KN 29 St, Kigali",heavenrwanda.com,0788 486 581,645,5.0,-1.9556189,20.8834406
Attilio's (formerly Green Olive) Pizzeria,"Lubowa Dr, Kampala, Ouganda",,+256 752 298652,43,5.0,-1.9556189,20.8834406
États-Unis,,,,0,0.0,44.2423649,-119.8093025
Arirang Hotel,"Plot 15A Kyadondo Rd, Kampala, Ouganda",,+256 41 4346777,1,5.0,0.3286974,-41.2479286
Four Points by Sheraton Kigali,"KN 3 Ave, Kigali",marriott.com,0788 163 100,404,5.0,0.3286974,-41.2479286
Kigali Marriott Hotel,"KN 3 Ave, Kigali",marriott.com,222 111 111,2,5.0,0.3286974,-41.2479286
Hotel Dolce Vita Resort,"Bujumbura, Burundi",,+257 71 84 18 48,40,5.0,0.3286974,-41.2479286
Restaurant,"Louisiane 70570, États-Unis",,,12,5.0,30.5471007,-165.8294263
Restaurant USA gambia,"C8J8+636, Unnamed Road, Serrekunda, Gambie",,+220 378 2586,0,0.0,13.4305454,-90.5129707
Restaurant,"Long Beach, Californie 90805, États-Unis",,,5,5.0,33.8449841,167.9782907
Restaurant,"Great Falls, Montana 59405, États-Unis",,,4,5.0,47.4944228,174.9304403
Restaurant,"Texas 78573, États-Unis",,,8,5.0,26.2495718,-172.1476428
USA Restaurant,"1515 N Main St, Monticello, IN 47960, États-Unis",facebook.com,+1 574-583-8179,1,5.0,26.2495718,-172.1476428
Restaurant & Bar Food,"Antioch, Californie 94509, États-Unis",,,3,5.0,26.2495718,-172.1476428
BAR-Restorant USA,"MHQJ+WHR, Tale, Albanie",,,8,5.0,41.68985,-54.2467237
Best Food In The Area,"Merrillville, Indiana 46410, États-Unis",,,1,5.0,41.471473,-161.1920806
Modern Restaurant Concepts,"3001 Brighton Blvd #705, Denver, CO 80216, États-Unis",modern-restaurants.com,,0,0.0,41.471473,-161.1920806
The National Chicago,"123 S Clark St, Chicago, IL 60603, États-Unis",thenationalchicago.com,,137,5.0,41.471473,-161.1920806
Manresa,"320 Village Ln, Los Gatos, CA 95030, États-Unis",ritualatmanresa.com,,609,5.0,37.2273738,164.1910324
USA Family Restaurant,"102 E Taylor St, Grant Park, IL 60940, États-Unis",usafamilyrestaurant.com,+1 815-465-2196,557,5.0,41.240896,-161.4718044
Di Grano,"148 Wilkinson Road, Freetown, Sierra Leone",,,7,5.0,8.4677491,-87.102815
USA & I,"176 Newberry Commons, Goldsboro, PA 17319, États-Unis",facebook.com,+1 717-932-2083,407,5.0,40.1578795,-150.6483199
