name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude,one_star_reviews
American Grill Kigali·Lien consulté,"KG 17 Ave, Kigali",facebook.com,0790 580 295,0,4.3,-1.9556189,20.8834406,0
Restaurant New Cactus·Lien consulté,"KN 47 St, Kigali",,0788 678 798,0,4.3,-1.9556189,20.8834406,0
Sole Luna·Lien consulté,"KG 599 Street, Kigali",soleluna.company,0788 859 593,0,4.2,-1.9556189,20.8834406,0
Jungle Grillz resto and bar·Lien consulté,"KG 20 Ave, Kigali",,0791 938 593,0,4.5,-1.9556189,20.8834406,0
The Lawns Restaurant·Lien consulté,"3A Lower Kololo Terrace Rd, Kampala, Ouganda",lawnstakeaway.com,+256 705 091278,0,4.3,-1.9556189,20.8834406,0
Real Indian Foods Restaurant·Lien consulté,"KG 137 St, Kigali",,0791 447 308,0,4.4,-1.9556189,20.8834406,0
The Best Nigerian Food In Kigali - Traditional & Authentic Nigerian and West African Food·Lien consulté,"KK 446 St, Kigali",bestnigerianfoodinkigali.com,0784 102 706,0,3.9,-1.9556189,20.8834406,0
Italiano Ristorante·Lien consulté,"Mbarara - Masaka Rd, Mbarara, Ouganda",,+256 770 392046,0,4.4,-1.9556189,20.8834406,0
Lamani Cafe·Lien consulté,"Eden Road, Kampala, Ouganda",,+256 755 511585,0,4.8,-1.9556189,20.8834406,0
B. I pizzeria Gulu·Lien consulté,"Lasto Okech Rd, Gulu, Ouganda",,+256 783 971952,0,5.0,-1.9556189,20.8834406,0
Pizza Kwanza·Lien consulté,"348C +48G, Kigali",,0780 412 396,0,5.0,-1.9556189,20.8834406,0
Attilio's (formerly Green Olive) Pizzeria·Lien consulté,"Lubowa Dr, Kampala, Ouganda",,+256 752 298652,0,4.3,-1.9556189,20.8834406,0
KFC Rwanda·Lien consulté,"24Q8+QJ4, Remera RN3, KG 4 Roundabout, Kigali",apps.kfc.co.rw,0789 244 860,0,4.1,-1.9556189,20.8834406,0
Anda Kigali·Lien consulté,"5th Floor, KK 35 Ave & KK 796 St Pelican Plaza Building, Kigali",anda.rw,0790 001 444,0,4.5,-1.9556189,20.8834406,0
KFC Mukono·Lien consulté,"Block 107, Plot 38, Shell Mukono, 40 Kampala-Jinja Expy, Mukono, Ouganda",facebook.com,+256 783 555581,0,4.1,-1.9556189,20.8834406,0
